Wavelength (nm)	P02 abs N
467.00	0.55183
467.20	0.54679
467.40	0.54229
467.60	0.53815
467.80	0.53355
468.00	0.52909
468.20	0.52458
468.40	0.51974
468.60	0.51518
468.80	0.51085
469.00	0.50651
469.20	0.50160
469.40	0.49618
469.60	0.49326
469.80	0.48870
470.00	0.48320
470.20	0.47992
470.40	0.47475
470.60	0.47055
470.80	0.46611
471.00	0.46214
471.20	0.45713
471.40	0.45260
471.60	0.44837
471.80	0.44382
472.00	0.43940
472.20	0.43510
472.40	0.43038
472.60	0.42575
472.80	0.42202
473.00	0.41670
473.20	0.41284
473.40	0.40846
473.60	0.40421
473.80	0.39949
474.00	0.39546
474.20	0.39133
474.40	0.38679
474.60	0.38252
474.80	0.37834
475.00	0.37399
475.20	0.36996
475.40	0.36595
475.60	0.36151
475.80	0.35728
476.00	0.35329
476.20	0.34926
476.40	0.34506
476.60	0.34052
476.80	0.33667
477.00	0.33337
477.20	0.32977
477.40	0.32543
477.60	0.32184
477.80	0.31833
478.00	0.31417
478.20	0.31063
478.40	0.30641
478.60	0.30292
478.80	0.29962
479.00	0.29470
479.20	0.29152
479.40	0.28841
479.60	0.28493
479.80	0.28139
480.00	0.27776
480.20	0.27488
480.40	0.27070
480.60	0.26767
480.80	0.26508
481.00	0.26073
481.20	0.25779
481.40	0.25442
481.60	0.25105
481.80	0.24815
482.00	0.24509
482.20	0.24224
482.40	0.23935
482.60	0.23581
482.80	0.23293
483.00	0.22952
483.20	0.22652
483.40	0.22405
483.60	0.22059
483.80	0.21795
484.00	0.21555
484.20	0.21254
484.40	0.20939
484.60	0.20696
484.80	0.20452
485.00	0.20131
485.20	0.19870
485.40	0.19631
485.60	0.19377
485.80	0.19104
486.00	0.18840
486.20	0.18626
486.40	0.18306
486.60	0.18102
486.80	0.17866
487.00	0.17629
487.20	0.17397
487.40	0.17180
487.60	0.16915
487.80	0.16727
488.00	0.16464
488.20	0.16250
488.40	0.15963
488.60	0.15751
488.80	0.15668
489.00	0.15426
489.20	0.15210
489.40	0.15068
489.60	0.14818
489.80	0.14645
490.00	0.14417
490.20	0.14241
490.40	0.13973
490.60	0.13850
490.80	0.13684
491.00	0.13455
491.20	0.13277
491.40	0.13035
491.60	0.12938
491.80	0.12781
492.00	0.12661
492.20	0.12470
492.40	0.12254
492.60	0.12079
492.80	0.11958
493.00	0.11823
493.20	0.11709
493.40	0.11526
493.60	0.11331
493.80	0.11220
494.00	0.11115
494.20	0.11008
494.40	0.10899
494.60	0.10680
494.80	0.10560
495.00	0.10367
495.20	0.10234
495.40	0.10187
495.60	0.10054
495.80	0.099764
496.00	0.097691
496.20	0.096792
496.40	0.095980
496.60	0.095306
496.80	0.094062
497.00	0.092732
497.20	0.091609
497.40	0.090158
497.60	0.089069
497.80	0.088205
498.00	0.087289
498.20	0.086218
498.40	0.085112
498.60	0.084663
498.80	0.083194
499.00	0.081916
499.20	0.081812
499.40	0.080931
499.60	0.079981
499.80	0.079134
500.00	0.078529
500.20	0.077251
500.40	0.076335
500.60	0.075972
500.80	0.075316
501.00	0.074763
501.20	0.073380
501.40	0.072275
501.60	0.071774
501.80	0.070944
502.00	0.070616
502.20	0.069355
502.40	0.069216
502.60	0.068715
502.80	0.067713
503.00	0.066988
503.20	0.066210
503.40	0.066175
503.60	0.065605
503.80	0.064914
504.00	0.064482
504.20	0.063687
504.40	0.063255
504.60	0.062633
504.80	0.061873
505.00	0.061424
505.20	0.061147
505.40	0.060629
505.60	0.060059
505.80	0.059679
506.00	0.059281
506.20	0.058556
506.40	0.058158
506.60	0.057865
506.80	0.057951
507.00	0.057035
507.20	0.056551
507.40	0.056189
507.60	0.055809
507.80	0.055187
508.00	0.054893
508.20	0.053960
508.40	0.053234
508.60	0.054184
508.80	0.054547
509.00	0.053839
509.20	0.053545
509.40	0.052768
509.60	0.052094
509.80	0.052336
510.00	0.052370
510.20	0.051558
510.40	0.051489
510.60	0.050711
510.80	0.050781
511.00	0.050729
511.20	0.050832
511.40	0.049986
511.60	0.049830
511.80	0.049899
512.00	0.049156
512.20	0.048241
512.40	0.048724
512.60	0.048465
512.80	0.048673
513.00	0.048258
513.20	0.047705
513.40	0.046962
513.60	0.047256
513.80	0.047204
514.00	0.047048
514.20	0.046772
514.40	0.046064
514.60	0.046046
514.80	0.046306
515.00	0.045666
515.20	0.045545
515.40	0.045718
515.60	0.045269
515.80	0.045131
516.00	0.045234
516.20	0.044664
516.40	0.044543
516.60	0.044509
516.80	0.044405
517.00	0.043783
517.20	0.044319
517.40	0.044180
517.60	0.043368
517.80	0.043265
518.00	0.043506
518.20	0.043126
518.40	0.043057
518.60	0.043075
518.80	0.042729
519.00	0.042332
519.20	0.042591
519.40	0.042055
519.60	0.041813
519.80	0.042003
520.00	0.041744
520.20	0.041813
520.40	0.041450
520.60	0.041139
520.80	0.041001
521.00	0.040414
521.20	0.039792
521.40	0.040828
521.60	0.040828
521.80	0.040846
522.00	0.040586
522.20	0.040258
522.40	0.040224
522.60	0.039895
522.80	0.039982
523.00	0.040034
523.20	0.039705
523.40	0.039826
523.60	0.039567
523.80	0.039412
524.00	0.039256
524.20	0.039152
524.40	0.039083
524.60	0.039135
524.80	0.038686
525.00	0.037960
525.20	0.038755
525.40	0.038358
525.60	0.038790
525.80	0.039135
526.00	0.038358
526.20	0.037373
526.40	0.037874
526.60	0.038271
526.80	0.038012
527.00	0.037891
527.20	0.038081
527.40	0.037528
527.60	0.037857
527.80	0.037891
528.00	0.037597
528.20	0.037096
528.40	0.037425
528.60	0.037666
528.80	0.037114
529.00	0.037044
529.20	0.037442
529.40	0.037044
529.60	0.036733
529.80	0.036733
530.00	0.036543
530.20	0.036163
530.40	0.036232
530.60	0.035921
530.80	0.036042
531.00	0.036094
531.20	0.036025
531.40	0.035956
531.60	0.035990
531.80	0.035904
532.00	0.036250
532.20	0.035870
532.40	0.036094
532.60	0.035870
532.80	0.036042
533.00	0.035870
533.20	0.035990
