Wavelength (nm)	S09 abs N
525.62	0.0059856
525.81	0.0048649
526.00	0.0047375
526.19	0.0055781
526.37	0.0055972
526.56	0.0056799
526.75	0.0053743
526.94	0.0050432
527.13	0.0060493
527.31	0.0057691
527.50	0.0050750
527.69	0.0051132
527.88	0.0022669
528.06	0.0051705
528.25	0.0035786
528.44	0.0057500
528.62	0.0029100
528.81	0.0038588
529.00	0.0035531
529.19	0.0048776
529.38	0.0031010
529.56	0.0041135
529.75	0.0046229
529.94	0.0036678
530.13	0.0041199
530.31	0.0034767
530.50	0.0022796
530.69	0.0038461
530.87	0.0041262
531.06	0.0037314
531.25	0.0061257
531.44	0.0036296
531.63	0.0035659
531.81	0.0059346
532.00	0.0038906
532.19	0.0040052
532.37	0.0029100
532.56	0.0030819
532.75	0.0045401
532.94	0.0037887
533.12	0.0044637
533.31	0.0043746
533.50	0.0033175
533.69	0.0048012
533.87	0.0046293
534.06	0.0040371
534.25	0.0035850
534.44	0.0036487
534.62	0.0039034
534.81	0.0029164
535.00	0.0030246
535.19	0.0036359
535.37	0.0021523
535.56	0.0035277
535.75	0.0025280
535.94	0.0039798
536.12	0.0034067
536.31	0.0030628
536.50	0.0039925
536.69	0.0029036
536.88	0.0035850
537.06	0.0025471
537.25	0.0028527
537.44	0.0032666
537.63	0.0031010
537.81	0.0032475
538.00	0.0026426
538.19	0.0027254
538.37	0.0035022
538.56	0.0030055
538.75	0.0031138
538.94	0.0031775
539.13	0.0047248
539.31	0.0042217
539.50	0.0021968
539.69	0.0029291
539.87	0.0035595
540.06	0.0030310
540.25	0.0023433
540.44	0.0024706
540.62	0.0030883
540.81	0.0022287
541.00	0.0026871
541.19	0.0029482
541.38	0.0033494
541.56	0.0023178
541.75	0.00083416
541.94	0.0024452
542.12	0.0023178
542.31	0.0033048
542.50	0.0026744
542.69	0.0026171
542.87	0.0028145
543.06	0.0020822
543.25	0.0036487
543.44	0.0018084
543.62	0.0029546
543.81	0.0040116
544.00	0.0024897
544.19	0.0017384
544.37	0.0022796
544.56	0.0027254
544.75	0.0031647
544.94	0.0027954
545.12	0.0026553
545.31	0.0028400
545.50	0.0030692
545.69	0.0016365
545.88	0.0028845
546.06	0.0021332
546.25	0.0022796
546.44	0.0029673
546.63	0.0032539
546.81	0.0016429
547.00	0.0028145
547.19	0.0023051
547.37	0.0023624
547.56	0.0020822
547.75	0.0019740
547.94	0.0036168
548.13	0.0029864
548.31	0.0027699
548.50	0.0015601
548.69	0.0021968
548.88	0.0024197
549.06	0.0023306
549.25	0.0024324
549.44	0.0024452
549.62	0.0015855
549.81	0.0023433
550.00	0.0026871
550.19	0.0031138
550.38	0.0028973
550.56	0.0019931
550.75	0.0029227
550.94	0.0030246
551.12	0.0023560
551.31	0.0039607
551.50	0.0036296
551.69	0.0030246
551.87	0.0024579
552.06	0.0024197
552.25	0.0031201
552.44	0.0027126
552.62	0.0025853
552.81	0.0033940
553.00	0.0020695
553.19	0.0031966
553.37	0.0020376
553.56	0.0017002
553.75	0.0022605
553.94	0.0023879
554.12	0.0023433
554.31	0.0033112
554.50	0.0030501
554.69	0.0026680
554.87	0.0020822
555.06	0.0027763
555.25	0.0031584
555.44	0.0020122
555.63	0.0024643
555.81	0.0025407
556.00	0.0034513
556.19	0.0025471
556.38	0.0030883
556.56	0.0024006
556.75	0.0035022
556.94	0.0027954
557.12	0.0020631
557.31	0.00052851
557.50	0.0018339
557.69	0.0041772
557.88	0.0034385
