Wavelength (nm)	R06 abs N
556.50	0.30012
556.75	0.29824
557.00	0.29580
557.25	0.29455
557.50	0.29416
557.75	0.28917
558.00	0.29302
558.25	0.28805
558.50	0.28878
558.75	0.28608
559.00	0.28275
559.25	0.28511
559.50	0.27845
559.75	0.28023
560.00	0.27600
560.25	0.27817
560.50	0.27420
560.75	0.27273
561.00	0.27105
561.25	0.26509
561.50	0.26750
561.75	0.26496
562.00	0.26089
562.25	0.25891
562.50	0.26049
562.75	0.25784
563.00	0.25489
563.25	0.25226
563.50	0.24735
563.75	0.25048
564.00	0.24411
564.25	0.24167
564.50	0.23971
564.75	0.23842
565.00	0.23832
565.25	0.23171
565.50	0.23279
565.75	0.22837
566.00	0.22762
566.25	0.22329
566.50	0.22222
566.75	0.21708
567.00	0.21540
567.25	0.21565
567.50	0.21292
567.75	0.20935
568.00	0.20869
568.25	0.20610
568.50	0.20355
568.75	0.19971
569.00	0.19685
569.25	0.19411
569.50	0.19300
569.75	0.18758
570.00	0.18561
570.25	0.18276
570.50	0.18466
570.75	0.17951
571.00	0.17672
571.25	0.17595
571.50	0.17367
571.75	0.17174
572.00	0.16718
572.25	0.16531
572.50	0.16319
572.75	0.16150
573.00	0.15785
573.25	0.15366
573.50	0.15250
573.75	0.15217
574.00	0.15221
574.25	0.14844
574.50	0.14711
574.75	0.14628
575.00	0.14438
575.25	0.14016
575.50	0.13767
575.75	0.13670
576.00	0.13321
576.25	0.13257
576.50	0.13038
576.75	0.12798
577.00	0.12661
577.25	0.12512
577.50	0.12161
577.75	0.11921
578.00	0.11796
578.25	0.11437
578.50	0.11422
578.75	0.11064
579.00	0.10942
579.25	0.10871
579.50	0.10749
579.75	0.10456
580.00	0.10119
580.25	0.10250
580.50	0.099303
580.75	0.096474
581.00	0.096466
581.25	0.094091
581.50	0.093231
581.75	0.090195
582.00	0.089717
582.25	0.088251
582.50	0.084458
582.75	0.085725
583.00	0.084234
583.25	0.082075
583.50	0.080410
583.75	0.079270
584.00	0.076107
584.25	0.074696
584.50	0.073668
584.75	0.074569
585.00	0.072393
585.25	0.070927
585.50	0.068624
585.75	0.068481
586.00	0.067588
586.25	0.066098
586.50	0.063580
586.75	0.062696
587.00	0.063030
587.25	0.060791
587.50	0.061126
587.75	0.058887
588.00	0.056648
588.25	0.054767
588.50	0.055907
588.75	0.053628
589.00	0.052138
589.25	0.054193
