Wavelength (nm)	S10 abs N
536.81	0.24909
537.00	0.24923
537.19	0.25066
537.37	0.25137
537.56	0.25346
537.75	0.25237
537.94	0.25448
538.12	0.25572
538.31	0.25627
538.50	0.26022
538.69	0.26110
538.87	0.26263
539.06	0.26357
539.25	0.26628
539.44	0.26771
539.63	0.26847
539.81	0.27118
540.00	0.27341
540.19	0.27520
540.38	0.27736
540.56	0.28027
540.75	0.28366
540.94	0.28372
541.12	0.28743
541.31	0.28904
541.50	0.29464
541.69	0.29741
541.88	0.29891
542.06	0.30393
542.25	0.30728
542.44	0.31173
542.63	0.31524
542.81	0.31918
543.00	0.32344
543.19	0.32775
543.37	0.33320
543.56	0.33555
543.75	0.34143
543.94	0.34594
544.13	0.35043
544.31	0.35600
544.50	0.36229
544.69	0.36695
544.87	0.37193
545.06	0.37761
545.25	0.38475
545.44	0.39047
545.62	0.39650
545.81	0.40180
546.00	0.40883
546.19	0.41752
546.37	0.42392
546.56	0.43004
546.75	0.43604
546.94	0.44150
547.12	0.44928
547.31	0.45790
547.50	0.46493
547.69	0.47207
547.87	0.47827
548.06	0.48605
548.25	0.49413
548.44	0.50437
548.62	0.51018
548.81	0.51676
549.00	0.52333
549.19	0.53302
549.38	0.54213
549.56	0.54887
549.75	0.55630
549.94	0.56742
550.13	0.57245
550.31	0.58212
550.50	0.59132
550.69	0.59591
550.87	0.60710
551.06	0.61615
551.25	0.62340
551.44	0.63029
551.63	0.63843
551.81	0.64395
552.00	0.65259
552.19	0.65629
552.37	0.66517
552.56	0.66910
552.75	0.67586
552.94	0.67605
553.12	0.68410
553.31	0.68923
553.50	0.69286
553.69	0.69237
553.88	0.69317
554.06	0.69538
554.25	0.69610
554.44	0.69378
554.62	0.69544
554.81	0.69314
555.00	0.68985
555.19	0.68709
555.37	0.68565
555.56	0.67924
555.75	0.67610
555.94	0.67220
556.12	0.66703
556.31	0.66015
556.50	0.65545
556.69	0.65360
556.87	0.64593
557.06	0.63789
557.25	0.63077
557.44	0.62105
557.62	0.61591
557.81	0.60841
558.00	0.60109
558.19	0.59477
558.38	0.58418
558.56	0.57616
558.75	0.56706
558.94	0.56082
559.13	0.54970
559.31	0.54260
559.50	0.53444
559.69	0.52689
559.87	0.51881
560.06	0.50846
560.25	0.49844
560.44	0.48982
560.63	0.48272
560.81	0.47476
561.00	0.46636
561.19	0.45960
561.38	0.44942
561.56	0.44370
561.75	0.43425
561.94	0.42666
562.12	0.42002
562.31	0.41419
562.50	0.40842
562.69	0.40080
562.88	0.39445
563.06	0.38549
563.25	0.38017
563.44	0.37462
563.62	0.36883
563.81	0.36309
564.00	0.35884
564.19	0.35449
564.37	0.34807
564.56	0.34360
564.75	0.33873
564.94	0.33590
565.12	0.33136
565.31	0.32839
565.50	0.32413
565.69	0.32130
565.87	0.31662
566.06	0.31383
566.25	0.31147
566.44	0.30661
566.62	0.30651
566.81	0.30502
567.00	0.30129
567.19	0.30079
567.37	0.29596
567.56	0.29341
567.75	0.29209
567.94	0.29147
568.13	0.29072
568.31	0.28916
568.50	0.28732
568.69	0.28721
568.88	0.28594
569.06	0.28322
569.25	0.28249
569.44	0.28040
569.62	0.27931
569.81	0.27646
570.00	0.27392
570.19	0.27316
570.38	0.26902
570.56	0.26883
570.75	0.26656
570.94	0.26499
571.12	0.26505
571.31	0.26332
571.50	0.26068
571.69	0.25696
571.87	0.25805
572.06	0.25471
572.25	0.25559
572.44	0.25021
572.63	0.25071
572.81	0.24842
573.00	0.24567
573.19	0.24543
573.37	0.24352
573.56	0.24081
573.75	0.23864
573.94	0.23673
574.12	0.23479
574.31	0.23209
574.50	0.23173
574.69	0.22879
574.87	0.22800
575.06	0.22603
575.25	0.22310
575.44	0.22235
575.62	0.22059
575.81	0.21740
576.00	0.21695
576.19	0.21461
576.37	0.21286
576.56	0.21145
576.75	0.21052
576.94	0.20831
577.13	0.20668
577.31	0.20544
577.50	0.20257
577.69	0.20253
577.88	0.20140
578.06	0.20000
578.25	0.19800
578.44	0.19663
578.62	0.19506
578.81	0.19423
579.00	0.19302
579.19	0.19226
579.38	0.19035
579.56	0.19037
579.75	0.18856
579.94	0.18708
580.13	0.18629
580.31	0.18519
580.50	0.18402
580.69	0.18311
580.87	0.18196
581.06	0.18110
581.25	0.18113
581.44	0.17961
581.63	0.17776
581.81	0.17841
582.00	0.17886
582.19	0.17539
582.37	0.17606
582.56	0.17470
582.75	0.17267
582.94	0.17307
583.12	0.17209
583.31	0.17136
583.50	0.17126
583.69	0.17154
583.87	0.16972
584.06	0.16819
584.25	0.16876
584.44	0.16730
584.62	0.16733
584.81	0.16664
585.00	0.16628
585.19	0.16514
585.37	0.16535
585.56	0.16579
585.75	0.16452
585.94	0.16444
586.12	0.16255
586.31	0.16251
586.50	0.16137
586.69	0.16039
586.88	0.15992
587.06	0.15988
587.25	0.16112
587.44	0.15901
587.63	0.15990
587.81	0.15780
588.00	0.15854
588.19	0.15724
588.37	0.15715
588.56	0.15627
588.75	0.15587
588.94	0.15542
589.13	0.15534
589.31	0.15473
589.50	0.15467
589.69	0.15400
