Wavelength (nm)	E20 abs N
550.50	0.0046352
550.75	0.0040070
551.00	0.0054572
551.25	0.0048173
551.50	0.0059328
551.75	0.0049523
552.00	0.0055335
552.25	0.0052106
552.50	0.0050462
552.75	0.0055335
553.00	0.0047644
553.25	0.0055042
553.50	0.0045002
553.75	0.0044180
554.00	0.0038603
554.25	0.0049229
554.50	0.0054807
554.75	0.0053633
555.00	0.0047938
555.25	0.0038720
555.50	0.0036606
555.75	0.0046118
556.00	0.0039190
556.25	0.0042008
556.50	0.0040775
556.75	0.0041421
557.00	0.0046587
557.25	0.0039894
557.50	0.0052165
557.75	0.0026626
558.00	0.0037546
558.25	0.0034552
558.50	0.0055335
558.75	0.0033730
559.00	0.0038485
559.25	0.0040834
559.50	0.0026567
559.75	0.0043710
560.00	0.0040775
560.25	0.0039953
560.50	0.0034375
560.75	0.0032027
561.00	0.0038074
561.25	0.0025393
561.50	0.0036900
561.75	0.0038779
562.00	0.0037370
562.25	0.0036019
562.50	0.0031616
562.75	0.0028446
563.00	0.0035726
563.25	0.0021459
563.50	0.0027213
563.75	0.0033906
564.00	0.0035491
564.25	0.0029033
564.50	0.0025158
564.75	0.0027741
565.00	0.0022927
565.25	0.0034493
565.50	0.0031088
565.75	0.0026038
566.00	0.0034552
566.25	0.0031616
566.50	0.0030266
566.75	0.0029561
567.00	0.0018876
567.25	0.0030031
567.50	0.0026919
567.75	0.0037076
568.00	0.0021048
568.25	0.0017114
568.50	0.0028269
568.75	0.0016116
569.00	0.0027447
569.25	0.0019756
569.50	0.0023220
569.75	0.0020637
570.00	0.0022574
570.25	0.0019874
570.50	0.0025569
570.75	0.0018289
571.00	0.00088360
571.25	0.0032966
571.50	0.0020050
571.75	0.0021694
572.00	0.0021987
572.25	0.0023220
572.50	0.0014766
572.75	0.0013298
573.00	0.0019110
573.25	0.0022927
573.50	0.0015588
573.75	0.0019463
574.00	0.0016175
574.25	0.0021048
574.50	0.0016938
574.75	0.0017819
575.00	0.0016879
575.25	0.0016468
575.50	0.0012946
575.75	0.0026684
576.00	0.0027330
576.25	0.0013298
576.50	0.0027800
576.75	0.0022457
577.00	0.0027565
577.25	0.0028622
577.50	0.0016410
577.75	0.0016586
578.00	0.0017701
578.25	0.0011889
578.50	0.0016175
578.75	0.0017701
579.00	0.0014942
579.25	0.0013357
579.50	0.0011243
579.75	0.0014414
580.00	0.00013210
580.25	0.0018582
580.50	0.0025275
580.75	0.0012594
581.00	0.0013063
581.25	0.00070160
581.50	0.0016762
581.75	0.00078379
582.00	0.0015529
582.25	0.0016234
582.50	0.0013181
582.75	0.0011772
583.00	0.0011889
583.25	0.0014003
583.50	0.00087773
583.75	0.0021224
584.00	0.0010245
584.25	0.0016468
584.50	4.9905e-05
584.75	0.0026919
585.00	0.0014296
585.25	0.0014590
585.50	0.0012594
585.75	0.00071921
586.00	0.0018876
586.25	0.00081902
586.50	0.0015588
586.75	0.00022017
587.00	0.00091296
587.25	0.00036107
587.50	0.0014942
587.75	0.00083663
588.00	0.0014590
588.25	0.00024365
588.50	0.0015353
588.75	0.0012006
589.00	0.00059592
589.25	0.0019991
589.50	0.00077205
589.75	0.00097754
590.00	0.0016175
590.25	0.00061353
590.50	0.00077205
590.75	0.0012770
591.00	0.0018289
591.25	0.00063115
591.50	0.0010363
591.75	0.0011302
592.00	0.0018582
592.25	0.0012828
592.50	0.00068399
592.75	0.00018494
593.00	0.00040804
