Wavelength (nm)	K10 abs 1
500.50	0.46616
500.75	0.47156
501.00	0.47866
501.25	0.48213
501.50	0.48718
501.75	0.49408
502.00	0.49983
502.25	0.50522
502.50	0.50815
502.75	0.51248
503.00	0.51973
503.25	0.52426
503.50	0.52962
503.75	0.53465
504.00	0.54286
504.25	0.54502
504.50	0.54931
504.75	0.55486
505.00	0.55825
505.25	0.56422
505.50	0.56784
505.75	0.57315
506.00	0.57864
506.25	0.57979
506.50	0.58516
506.75	0.58920
507.00	0.59433
507.25	0.59547
507.50	0.60125
507.75	0.60431
508.00	0.60814
508.25	0.61162
508.50	0.61233
508.75	0.61497
509.00	0.61897
509.25	0.61968
509.50	0.62249
509.75	0.62685
510.00	0.62977
510.25	0.62989
510.50	0.62944
510.75	0.63219
511.00	0.63484
511.25	0.63818
511.50	0.63703
511.75	0.63910
512.00	0.64067
512.25	0.64072
512.50	0.64175
512.75	0.64173
513.00	0.64195
513.25	0.64355
513.50	0.64384
513.75	0.64331
514.00	0.64196
514.25	0.64258
514.50	0.64298
514.75	0.64329
515.00	0.64094
515.25	0.64061
515.50	0.64058
515.75	0.64028
516.00	0.63818
516.25	0.63683
516.50	0.63710
516.75	0.63506
517.00	0.63548
517.25	0.63467
517.50	0.63386
517.75	0.63561
518.00	0.63356
518.25	0.63224
518.50	0.63130
518.75	0.63132
519.00	0.63079
519.25	0.63113
519.50	0.63149
519.75	0.63024
520.00	0.63173
520.25	0.62805
520.50	0.63006
520.75	0.63128
521.00	0.63111
521.25	0.63061
521.50	0.62845
521.75	0.62997
522.00	0.63265
522.25	0.63215
522.50	0.63145
522.75	0.63386
523.00	0.63743
523.25	0.63567
523.50	0.63723
523.75	0.63879
524.00	0.64015
524.25	0.64306
524.50	0.64402
524.75	0.64441
525.00	0.64493
525.25	0.65010
525.50	0.65167
525.75	0.65196
526.00	0.65589
526.25	0.66001
526.50	0.66185
526.75	0.66650
527.00	0.66587
527.25	0.66967
527.50	0.67732
527.75	0.67531
528.00	0.68125
528.25	0.68461
528.50	0.68719
528.75	0.69293
529.00	0.69600
529.25	0.70321
529.50	0.70679
529.75	0.70942
530.00	0.71500
530.25	0.71818
530.50	0.72308
530.75	0.72929
531.00	0.73422
531.25	0.73942
531.50	0.74554
531.75	0.74965
532.00	0.75240
532.25	0.75677
532.50	0.76730
532.75	0.77173
533.00	0.77552
533.25	0.78360
533.50	0.78821
533.75	0.79271
534.00	0.79608
534.25	0.80329
534.50	0.80578
534.75	0.81238
535.00	0.81901
535.25	0.82399
535.50	0.82821
535.75	0.83654
536.00	0.84195
536.25	0.85203
536.50	0.85742
536.75	0.86249
537.00	0.87138
537.25	0.87592
537.50	0.88585
537.75	0.89207
538.00	0.89929
538.25	0.90363
538.50	0.90810
538.75	0.91843
539.00	0.92395
539.25	0.92866
539.50	0.92913
539.75	0.94349
540.00	0.94568
540.25	0.94728
540.50	0.95801
540.75	0.96332
541.00	0.96763
541.25	0.96880
541.50	0.97646
541.75	0.97705
542.00	0.98143
542.25	0.98509
542.50	0.99024
542.75	0.99326
543.00	0.99185
543.25	0.99445
543.50	0.99483
543.75	0.99878
544.00	0.99939
544.25	1.0000
544.50	0.99781
544.75	0.99797
545.00	0.99348
545.25	0.99318
545.50	0.99324
545.75	0.98676
546.00	0.98543
546.25	0.98206
546.50	0.97707
546.75	0.97112
547.00	0.96493
547.25	0.95917
547.50	0.95498
547.75	0.94469
548.00	0.93978
548.25	0.93136
548.50	0.92708
548.75	0.91374
549.00	0.90796
549.25	0.89565
549.50	0.88319
549.75	0.87340
550.00	0.85972
550.25	0.84806
550.50	0.83730
550.75	0.82427
551.00	0.80946
551.25	0.79709
551.50	0.78375
551.75	0.76841
552.00	0.75220
552.25	0.73912
552.50	0.72416
552.75	0.70878
553.00	0.69348
553.25	0.67949
553.50	0.66586
553.75	0.64842
554.00	0.63510
554.25	0.61791
554.50	0.60084
554.75	0.58255
555.00	0.56468
555.25	0.54449
555.50	0.52806
555.75	0.51067
556.00	0.49550
556.25	0.48132
556.50	0.46744
556.75	0.45525
557.00	0.43922
557.25	0.42750
557.50	0.41211
557.75	0.40192
558.00	0.38897
558.25	0.37665
558.50	0.36518
558.75	0.35194
559.00	0.34259
559.25	0.32892
559.50	0.32067
559.75	0.30671
560.00	0.29841
560.25	0.28818
560.50	0.27725
560.75	0.26885
561.00	0.25877
561.25	0.24954
561.50	0.23913
561.75	0.23313
562.00	0.22309
562.25	0.21597
562.50	0.20851
562.75	0.19947
563.00	0.19322
563.25	0.18476
563.50	0.17862
563.75	0.17245
564.00	0.16650
564.25	0.15803
564.50	0.15265
564.75	0.14761
565.00	0.14164
565.25	0.13645
565.50	0.13122
565.75	0.12456
566.00	0.12056
566.25	0.11617
566.50	0.11074
566.75	0.10611
567.00	0.10064
567.25	0.097243
567.50	0.093416
567.75	0.090405
568.00	0.087670
568.25	0.083529
568.50	0.079929
568.75	0.076350
569.00	0.072734
569.25	0.070307
569.50	0.069236
569.75	0.064403
570.00	0.061084
570.25	0.058609
570.50	0.057517
570.75	0.054549
571.00	0.053073
571.25	0.050538
571.50	0.047186
571.75	0.045857
572.00	0.043786
572.25	0.042105
572.50	0.041002
572.75	0.038505
573.00	0.038840
573.25	0.036213
573.50	0.035878
573.75	0.034164
574.00	0.033104
574.25	0.032256
574.50	0.031077
574.75	0.028283
575.00	0.027823
575.25	0.027439
575.50	0.026926
575.75	0.024509
576.00	0.023526
576.25	0.022790
576.50	0.021531
576.75	0.022088
577.00	0.021136
577.25	0.019617
577.50	0.018979
577.75	0.018347
578.00	0.018752
578.25	0.015660
578.50	0.017131
578.75	0.015720
579.00	0.015098
579.25	0.013682
579.50	0.014585
