,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
332,1011.12,Amino-derivative,660P1-02,C42H52N4O14S4 * 2 Na,663,682,(in PBS),DY-660P1,"200,000"
333,1113.14,Maleimide,660P1-03,C46H51N4O16S4 * 3 Na,663,682,(in PBS),DY-660P1,"200,000"
336,706.91,Carboxylic acid,675-00,C42H46N2O6S,675,699,(in Ethanol),DY-675,"180,000"
337,803.98,NHS-ester,675-01,C46H49N3O8S,675,699,(in Ethanol),DY-675,"180,000"
338,785.45,Amino-derivative,675-02,C44H53N4O5S * Cl,675,699,(in Ethanol),DY-675,"180,000"
339,829.04,Maleimide,675-03,C48H52N4O7S,675,699,(in Ethanol),DY-675,"180,000"
342,808.95,Carboxylic acid,676-00,C42H45N2O9S2 * Na,675,699,(in Ethanol),DY-676,"180,000"
343,906.02,NHS-ester,676-01,C46H48N3O11S2 * Na,675,699,(in Ethanol),DY-676,"180,000"
344,829.06,Amino-derivative,676-02,C44H52N4O8S2,675,699,(in Ethanol),DY-676,"180,000"
345,931.08,Maleimide,676-03,C48H51N4O10S2 * Na,675,699,(in Ethanol),DY-676,"180,000"
348,925.02,Carboxylic acid,677-00,C43H46N2O12S3 * 2 Na,674,698,(in Ethanol),DY-677,"180,000"
349,1022.10,NHS-ester,677-01,C47H49N3O14S3 * 2 Na,674,698,(in Ethanol),DY-677,"180,000"
350,945.12,Amino-derivative,677-02,C45H53N4O11S3 * Na,674,698,(in Ethanol),DY-677,"180,000"
351,1047.15,Maleimide,677-03,C49H52N4O13S3 * 2 Na,674,698,(in Ethanol),DY-677,"180,000"
354,1027.07,Carboxylic acid,678-00,C43H45N2O15S4 * 3 Na,674,694,(in Ethanol),DY-678,"180,000"
355,1124.14,NHS-ester,678-01,C47H48N3O17S4 * 3 Na,674,694,(in Ethanol),DY-678,"180,000"
356,1047.17,Amino-derivative,678-02,C45H52N4O14S4 * 2 Na,674,694,(in Ethanol),DY-678,"180,000"
357,1149.18,Maleimide,678-03,C49H51N4O16S4 * 3 Na,674,694,(in Ethanol),DY-678,"180,000"
364,1143.14,Carboxylic acid,679P1-00,C44H46N2O18S5 * 4 Na,679,697,(in PBS),DY-679P1,"200,000"
365,1240.21,NHS-ester,679P1-01,C48H49N3O20S5 * 4 Na,679,697,(in PBS),DY-679P1,"200,000"
366,1163.24,Amino-derivative,679P1-02,C46H53N4O17S5 * 3 Na,679,697,(in PBS),DY-679P1,"200,000"
367,1265.27,Maleimide,679P1-03,C50H52N4O19S5 * 4 Na,679,697,(in PBS),DY-679P1,"200,000"
370,634.84,Carboxylic acid,680-00,C36H46N2O6S,691,709,(in Ethanol),DY-680,"140,000"
371,731.92,NHS-ester,680-01,C40H49N3O8S,691,709,(in Ethanol),DY-680,"140,000"
372,713.38,Amino-derivative,680-02,C38H53N4O5S * Cl,691,709,(in Ethanol),DY-680,"140,000"
373,756.97,Maleimide,680-03,C42H52N4O7S,691,709,(in Ethanol),DY-680,"140,000"
376,736.88,Carboxylic acid,681-00,C36H45N2O9S2 * Na,692,709,(in Ethanol),DY-681,"140,000"
377,833.95,NHS-ester,681-01,C40H48N3O11S2 * Na,692,709,(in Ethanol),DY-681,"140,000"
378,756.99,Amino-derivative,681-02,C38H52N4O8S2,692,709,(in Ethanol),DY-681,"140,000"
